north,west,south,east,Ozone_S,SO2,time
37.76627267,-122.4223998353,37.7644760403,-122.4201271483,50.7318864335,305.2230128665,1448138686.719
37.76627267,-122.4155817744,37.7644760403,-122.4133090875,50.9980454656,305.2885327522,1448138681.68976
37.76627267,-122.4087637136,37.7644760403,-122.4064910267,54.7704350638,320.3304031215,1448138681.62081
37.76627267,-122.3905822181,37.7644760403,-122.3883095311,53.6592195833,318.0092082067,1448138676.59248
37.7680692998,-122.4814888677,37.76627267,-122.4792161255,45.8049894814,265.4676313928,1448138666.44254
37.7680692998,-122.4792161255,37.76627267,-122.4769433834,45.0067112338,279.8368518506,1448138662.00391
37.7680692998,-122.4246703138,37.76627267,-122.4223975716,48.3485030704,290.873501006,1448138661.63056
37.7680692998,-122.4223975716,37.76627267,-122.4201248295,52.1640207561,311.1676149917,1448138656.83863
37.7680692998,-122.4155793451,37.76627267,-122.413306603,50.7923653792,304.889157799,1448138651.91878
37.7680692998,-122.4087611187,37.76627267,-122.4064883765,53.7317464679,321.8644101959,1448138645.3481
37.7680692998,-122.3905791814,37.76627267,-122.3883064393,52.2474396464,321.3298999334,1448138641.82425
37.7698659295,-122.4814880394,37.7680692998,-122.479215242,42.6348363661,330.2625170253,1448138631.37699
37.7698659295,-122.479215242,37.7680692998,-122.4769424447,46.7388775907,290.314889817,1448138627.21485
37.7698659295,-122.4337592946,37.7680692998,-122.4314864972,47.0999647086,321.8190091572,1448138623.55784
37.7698659295,-122.4314864972,37.7680692998,-122.4292136999,47.1941526903,260.0346720742,1448138617.45942
37.7698659295,-122.4292136999,37.7680692998,-122.4269409025,47.5530354161,294.4354640161,1448138612.32698
37.7698659295,-122.4269409025,37.7680692998,-122.4246681051,47.3819810491,288.3985431008,1448138611.50675
37.7698659295,-122.4246681051,37.7680692998,-122.4223953078,48.2327238239,289.4592393456,1448138603.8973
37.7698659295,-122.4223953078,37.7680692998,-122.4201225104,54.1499272742,323.0070660504,1448138596.4444
37.7698659295,-122.417849713,37.7680692998,-122.4155769156,52.6674073236,317.2275967729,1448138593.32944
37.7698659295,-122.4155769156,37.7680692998,-122.4133041183,52.6809989102,317.1835552529,1448138592.03089
37.7698659295,-122.4133041183,37.7680692998,-122.4110313209,53.4143731838,320.2436460271,1448138581.62917
37.7698659295,-122.4110313209,37.7680692998,-122.4087585235,52.5936212107,319.7142211862,1448138578.80692
37.7698659295,-122.4087585235,37.7680692998,-122.4064857261,53.0645423011,320.8514104583,1448138571.47485
